state2,state,race,lf7,lf13,punemp1,punemp4,punemp7,punemp13
North Dakota,North Dakota,23,,,3.3,2.6,,
North Dakota,North Dakota,21,,,2.6,2.1,,
Ohio,Ohio,1060,611,150,10.3,9.4,17.3,13.8
Ohio,Ohio,1191,606,144,10.1,9.199999999999999,16.9,11.6
Ohio,Ohio,1112,592,166,8.699999999999999,7.6,17.2,8.800000000000001
Ohio,Ohio,1165,625,205,7.2,6.2,14.6,8.800000000000001
Ohio,Ohio,1098,604,172,7.6,6.7,15,14.3
Ohio,Ohio,1049,615,167,5.6,4.8,11.6,5.9
Ohio,Ohio,979,645,171,4.9,4,10.9,5.8
Ohio,Ohio,928,631,193,4.9,4.2,9.6,5.9
Ohio,Ohio,825,651,209,5,4.4,9.1,7.1
Oklahoma,Oklahoma,575,121,135,6.2,5,11.1,7.4
Oklahoma,Oklahoma,589,123,122,7.2,5.9,13.1,10.1
Oklahoma,Oklahoma,507,135,102,6.2,5,11.8,12.5
Oklahoma,Oklahoma,484,124,122,5.1,4.1,9.300000000000001,3.7
Oklahoma,Oklahoma,460,117,163,5.6,4.7,8.699999999999999,8.1
Oklahoma,Oklahoma,405,117,172,4.5,3.9,7,6
Oklahoma,Oklahoma,427,128,189,4.3,3.8,8.800000000000001,4.8
Oklahoma,Oklahoma,325,131,210,5.1,4.2,7.9,5.1
Oklahoma,Oklahoma,389,122,208,4.4,3.6,7,4.3
Oregon,Oregon,59,36,172,11.5,11.1,15.2,14
Oregon,Oregon,60,31,165,11,11,12.8,11.6
Oregon,Oregon,65,27,156,9.4,9.1,21.3,13.5
Oregon,Oregon,51,29,185,8.9,8.699999999999999,18.4,11.4
Oregon,Oregon,47,30,202,7.9,7.8,17.6,11.1
Oregon,Oregon,40,34,202,7.1,6.8,13.6,9.6
Oregon,Oregon,53,,237,5.7,5.7,,6.5
Oregon,Oregon,45,,277,4.9,4.9,,5.7
Oregon,Oregon,36,,283,4.1,3.8,,4.7
Pennsylvania,Pennsylvania,917,563,293,7.9,7.3,12.9,15
Pennsylvania,Pennsylvania,1300,561,282,8.6,7.8,16.2,15.5
Pennsylvania,Pennsylvania,1178,596,300,7.8,7.1,13.3,14.5
Pennsylvania,Pennsylvania,1214,649,327,7.8,6.9,14.9,12.8
Pennsylvania,Pennsylvania,1208,645,324,7.5,6.8,14.4,12.4
Pennsylvania,Pennsylvania,1148,616,391,5.7,5,10.9,9.5
Pennsylvania,Pennsylvania,1215,653,419,5.2,4.5,10.5,7.7
Pennsylvania,Pennsylvania,1228,651,384,5.6,4.9,11.4,11.9
Pennsylvania,Pennsylvania,1195,669,404,4.8,4.3,8.4,7
Rhode Island,Rhode Island,14,33,53,11.2,10.7,18.2,20.6
Rhode Island,Rhode Island,7,36,57,11.3,10.8,15.7,21.7
Rhode Island,Rhode Island,12,34,56,11.1,10.3,17.6,21.6
Rhode Island,Rhode Island,15,39,61,10.5,9.9,17.2,19.3
Rhode Island,Rhode Island,12,34,67,9.199999999999999,8.699999999999999,16,20.8
Rhode Island,Rhode Island,14,36,64,7.7,7,14.8,16.1
Rhode Island,Rhode Island,16,41,73,5.9,5.2,12.2,9.1
Rhode Island,Rhode Island,15,41,77,5.4,5.1,6.9,8.699999999999999
Rhode Island,Rhode Island,6,39,77,4.4,4.1,7,7.1
South Carolina,South Carolina,443,545,62,11.8,9,19.5,11.8
South Carolina,South Carolina,546,556,71,11,8.4,18.2,10.9
South Carolina,South Carolina,584,589,81,10.5,8.1,16.8,12.2
South Carolina,South Carolina,482,581,75,9.4,6.9,16.1,7.9
